Car ID,Brand,Model,Year,Color,Mileage,Price,Location,Mileage_
1,Toyota,Camry,2018,White,45000,18000,Los Angeles,Middle
2,Honda,Civic,2019,Blue,35000,16000,New York,Low
3,Ford,Focus,2017,Silver,55000,14000,Chicago,Middle
4,Chevrolet,Cruze,2016,Red,60000,12000,Miami,High
5,Hyundai,Elantra,2018,Black,40000,15000,San Francisco,Middle
6,Toyota,Corolla,2020,Gray,25000,19000,Dallas,Low
7,Honda,Accord,2019,White,30000,18000,Atlanta,Low
8,Ford,Mustang,2015,Yellow,65000,22000,Phoenix,High
9,Chevrolet,Impala,2017,Black,55000,16000,Houston,Middle
10,Hyundai,Sonata,2016,Blue,50000,14000,Seattle,Middle
11,Toyota,Rav4,2017,Gray,55000,19000,Los Angeles,Middle
12,Honda,CR-V,2020,Red,30000,23000,New York,Low
13,Ford,Escape,2019,White,40000,21000,Chicago,Middle
14,Chevrolet,Equinox,2018,Black,45000,18000,Miami,Middle
15,Hyundai,Kona,2019,Blue,35000,20000,San Francisco,Low
16,Toyota,Highlander,2016,Silver,60000,25000,Dallas,High
17,Honda,Pilot,2017,Gray,55000,24000,Atlanta,Middle
18,Ford,Explorer,2018,White,50000,23000,Phoenix,Middle
19,Chevrolet,Traverse,2020,Black,35000,28000,Houston,Low
20,Hyundai,Santa Fe,2019,Red,40000,25000,Seattle,Middle
21,Toyota,4Runner,2015,Silver,70000,27000,Los Angeles,High
22,Honda,Odyssey,2016,White,55000,22000,New York,Middle
23,Ford,Edge,2017,Blue,50000,21000,Chicago,Middle
24,Chevrolet,Tahoe,2018,Black,45000,26000,Miami,Middle
25,Hyundai,Palisade,2019,Silver,30000,29000,San Francisco,Low
26,Toyota,Sienna,2020,Red,35000,27000,Dallas,Low
27,Honda,Fit,2017,Gray,55000,12000,Atlanta,Middle
28,Ford,Fusion,2018,White,50000,15000,Phoenix,Middle
29,Chevrolet,Malibu,2019,Blue,40000,17000,Houston,Middle
30,Hyundai,Venue,2016,Silver,60000,14000,Seattle,High
31,Toyota,Yaris,2017,Black,55000,12000,Los Angeles,Middle
32,Honda,HR-V,2018,White,50000,15000,New York,Middle
33,Ford,EcoSport,2019,Red,40000,17000,Chicago,Middle
34,Chevrolet,Spark,2020,Blue,35000,14000,Miami,Low
35,Hyundai,Accent,2015,Silver,70000,12000,San Francisco,High
36,Toyota,Prius,2016,Gray,55000,15000,Dallas,Middle
